"['2013-06-20', '110.71', '110.76', '108.52', '108.78', '2975586', 'MMM', 110.58, 0.9837, 108.93, 0.9986]"
"['2013-06-21', '109.5', '110.06', '108.74', '109.59', '4674703', 'MMM', 110.54, 0.9914, 108.95, 1.0059]"
"['2013-06-24', '108.784', '108.784', '107.15', '107.5', '3602390', 'MMM', 110.4, 0.9737, 108.95, 0.9867]"
"['2013-06-25', '108.2', '108.75', '107.54', '108.24', '2677161', 'MMM', 110.23, 0.9819, 109.0, 0.993]"
"['2013-06-26', '109.07', '109.98', '108.73', '109.68', '2525705', 'MMM', 110.16, 0.9956, 109.07, 1.0056]"
"['2013-06-27', '110.54', '110.9', '109.97', '110.24', '2232561', 'MMM', 110.1, 1.0013, 109.17, 1.0098]"
"['2013-06-28', '109.86', '110.47', '109.14', '109.35', '3429861', 'MMM', 110.06, 0.9935, 109.25, 1.0009]"
"['2013-07-01', '108.37', '110.36', '108.36', '109.31', '2668810', 'MMM', 109.99, 0.9938, 109.32, 0.9999]"
"['2013-07-02', '109.05', '109.75', '108.33', '108.73', '3008715', 'MMM', 109.93, 0.9891, 109.38, 0.9941]"
"['2013-07-03', '108.28', '109.9', '108.21', '109.45', '1364138', 'MMM', 109.97, 0.9953, 109.42, 1.0003]"
"['2013-07-05', '110.37', '111.56', '109.87', '111.54', '2064442', 'MMM', 110.11, 1.013, 109.5, 1.0186]"
"['2013-07-08', '112.0', '112.784', '111.901', '112.13', '2572605', 'MMM', 110.16, 1.0179, 109.64, 1.0227]"
"['2013-07-09', '113.09', '113.52', '112.795', '113.35', '2196198', 'MMM', 110.29, 1.0277, 109.83, 1.032]"
"['2013-07-10', '113.38', '113.88', '112.91', '113.43', '2307474', 'MMM', 110.45, 1.027, 110.03, 1.0309]"
"['2013-07-11', '114.36', '114.75', '114.17', '114.53', '2387481', 'MMM', 110.73, 1.0343, 110.22, 1.0391]"
"['2013-07-12', '114.57', '115.24', '114.27', '115.14', '2291871', 'MMM', 110.92, 1.038, 110.43, 1.0427]"
"['2013-07-15', '115.14', '115.49', '114.75', '114.85', '2064596', 'MMM', 111.11, 1.0337, 110.61, 1.0383]"
"['2013-07-16', '114.99', '115.44', '114.06', '114.34', '2458369', 'MMM', 111.24, 1.0279, 110.74, 1.0325]"
"['2013-07-17', '114.97', '115.27', '114.31', '114.64', '2096714', 'MMM', 111.32, 1.0298, 110.88, 1.0339]"
"['2013-07-18', '114.61', '115.75', '114.57', '115.48', '2945741', 'MMM', 111.52, 1.0355, 111.03, 1.0401]"
